request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,"You can pay the full IDR 15,656,000 today, and your remaining balance will be about IDR 85,189,250, which stays well above the protected minimum of IDR 24,768,300."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,"Pay the full ZAR 6,670 today; your balance will remain well above the ZAR 20,500 safety threshold."
request_28,429.49,affordable_later,wait,2024-07-15:1302.4,2024-07-15,none,"Pay EUR 1,302.40 in full on 2024-07-15. Paying earlier would take your balance below the EUR 1,100.00 minimum."
request_29,20201.59,not_affordable,not_recommended,none,,none,"Do not proceed with this payment now. None of the available options keeps your ZAR 28,300.00 minimum balance protected."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use the recommended installment plan (2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74). This keeps your USD 900.00 minimum balance protected.
request_31,4685842.33,affordable_later,wait,2024-10-15:18164000.0,2024-10-15,none,"Pay IDR 18,164,000.00 in full on 2024-10-15. Paying earlier would take your balance below the IDR 16,588,900.00 minimum."
request_32,20115.16,affordable_with_plan,partial_payment,2025-02-05:20115.16|2025-03-15:19902.84,2025-03-15,none,"Pay ZAR 20,115.16 today and the remaining ZAR 19,902.84 on 2025-03-15. This protects your ZAR 35,700.00 minimum balance."
request_33,46762.38,affordable_with_plan,partial_payment,2026-01-07:46762.38|2026-02-15:71237.62,2026-02-15,none,"Pay INR 46,762.38 today and the remaining INR 71,237.62 on 2026-02-15. This protects your INR 102,100.00 minimum balance."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.0,2024-12-04,none,"Pay INR 129,400.00 today. This leaves at least INR 138,500.00 available over the next 90 days."
request_35,39277.85,affordable_later,wait,2026-01-15:212000.0,2026-01-15,none,"Pay INR 212,000.00 in full on 2026-01-15. Paying earlier would take your balance below the INR 106,400.00 minimum."
request_36,921.23,affordable_later,wait,2026-08-15:3954.0,2026-08-15,none,"Pay USD 3,954.00 in full on 2026-08-15. Paying earlier would take your balance below the USD 2,400.00 minimum."
request_37,6828914.15,affordable_with_plan,partial_payment,2024-03-05:6828914.15|2024-04-15:7820085.85,2024-04-15,none,"Pay IDR 6,828,914.15 today and the remaining IDR 7,820,085.85 on 2024-04-15. This protects your IDR 17,056,200.00 minimum balance."
